<<<<<<< HEAD
﻿Year,Price(Dollars/Unit),Production,HarvestedAcres,Yield(Unit/Acre)
1980,542,3918,1660,2.36
1981,548,4860,1725,2.82
1982,528,6326,1610,3.93
1983,424,5042,1640,3.07
1984,398,5286,1672,3.16
1985,338,5336,1501,3.55
1986,356,4908,1465,3.35
1987,358,5006,1458,3.43
1988,378,4094,1216,3.37
1989,713,7615,1812,4.2
1990,880,3435,1628,2.11
1991,867,4938,1286,3.84
1992,890,5028,1531,3.28
1993,854,4248,1572,2.7
1994,899,4261,2050,2.08
1995,871,3253,1709,1.9
1996,1029,4730,1662,2.85
1997,1116,9308,1977,4.71
1998,1205,4370,2141,2.04
1999,1182,7210,2018,3.57
2000,1185,5483,2602,2.11
2001,1147,8797,3023,2.91
2002,1126,4793,2255,2.13
2003,1077.41,7325,2284,3.21
2004,995.38,9094,2526,3.6
2005,930.68,9189,2169,4.24
2006,937.97,8534,2281,3.74
2007,857.69,7526,1916,3.93
2008,911.76,9417,2526,3.73
2009,1158.13,12110,2410,5.02
2010,906.27,12600,2240,5.63
2011,1296.63,9190,2650,3.47
2012,1251.27,11000,2940,3.74
2013,979.45,16300,2800,5.82
2014,1486.42,10600,2420,4.38
2015,1529.98,9940,2400,4.14
2016,1432.2,12700,2630,4.83
2017,1447.32,12300,2420,5.08
2018,1503.04,18100,3390,5.34
2019,1503.04,18100,3390,5.34
2020,1497.69,13000,2530,5.14
=======
﻿Year,Price(Dollars/Unit),Production,HarvestedAcres,Yield(Unit/Acre)
1980,542,3918,1660,2.36
1981,548,4860,1725,2.82
1982,528,6326,1610,3.93
1983,424,5042,1640,3.07
1984,398,5286,1672,3.16
1985,338,5336,1501,3.55
1986,356,4908,1465,3.35
1987,358,5006,1458,3.43
1988,378,4094,1216,3.37
1989,713,7615,1812,4.2
1990,880,3435,1628,2.11
1991,867,4938,1286,3.84
1992,890,5028,1531,3.28
1993,854,4248,1572,2.7
1994,899,4261,2050,2.08
1995,871,3253,1709,1.9
1996,1029,4730,1662,2.85
1997,1116,9308,1977,4.71
1998,1205,4370,2141,2.04
1999,1182,7210,2018,3.57
2000,1185,5483,2602,2.11
2001,1147,8797,3023,2.91
2002,1126,4793,2255,2.13
2003,1077.41,7325,2284,3.21
2004,995.38,9094,2526,3.6
2005,930.68,9189,2169,4.24
2006,937.97,8534,2281,3.74
2007,857.69,7526,1916,3.93
2008,911.76,9417,2526,3.73
2009,1158.13,12110,2410,5.02
2010,906.27,12600,2240,5.63
2011,1296.63,9190,2650,3.47
2012,1251.27,11000,2940,3.74
2013,979.45,16300,2800,5.82
2014,1486.42,10600,2420,4.38
2015,1529.98,9940,2400,4.14
2016,1432.2,12700,2630,4.83
2017,1447.32,12300,2420,5.08
2018,1503.04,18100,3390,5.34
2019,1503.04,18100,3390,5.34
2020,1497.69,13000,2530,5.14
>>>>>>> 916149216fbe907d7b43b13f5e2c2d523f43c445
