"time","mean_OMUVBd_003_UVindex"
2020-01-01,10.321825
2020-01-02,11.0155468
2020-01-03,9.92594433
2020-01-04,10.872777
2020-01-05,11.0335035
2020-01-06,11.0286255
2020-01-07,11.2405243
2020-01-08,10.2625952
2020-01-09,11.0417938
2020-01-10,10.8822966
2020-01-11,10.4796762
2020-01-12,10.2894707
2020-01-13,11.1599951
2020-01-14,11.8321905
2020-01-15,11.7237339
2020-01-16,11.8645382
2020-01-17,12.9185848
2020-01-18,12.2471704
2020-01-19,12.5986395
2020-01-20,12.0621824
2020-01-21,12.3229837
2020-01-22,12.5721655
2020-01-23,12.5951347
2020-01-24,11.377141
2020-01-25,12.2594004
2020-01-26,11.959795
2020-01-27,12.4897966
2020-01-28,12.126605
2020-01-29,11.6921349
2020-01-30,11.7082167
2020-01-31,11.2335148
2020-02-01,11.7856493
2020-02-02,12.2145414
2020-02-03,11.4264603
2020-02-04,12.315074
2020-02-05,11.5678892
2020-02-06,12.1560774
2020-02-07,10.3337669
2020-02-08,12.3533192
2020-02-09,11.257206
2020-02-10,11.9221258
2020-02-11,12.5542698
2020-02-12,12.1460314
2020-02-13,12.3484106
2020-02-14,12.3419571
2020-02-15,12.045084
2020-02-16,12.2438755
2020-02-17,11.6026888
2020-02-18,11.7471514
2020-02-19,10.9397202
2020-02-20,12.2611475
2020-02-21,11.7881927
2020-02-22,12.729372
2020-02-23,12.9057007
2020-02-24,12.93437
2020-02-25,12.5572891
2020-02-26,11.9906225
2020-02-27,12.4575548
2020-02-28,12.8303747
2020-02-29,13.1733198
2020-03-01,12.5686293
2020-03-02,12.8324003
2020-03-03,12.1918364
2020-03-04,11.3849659
2020-03-05,11.4697104
2020-03-06,12.0112867
2020-03-07,11.2850122
2020-03-08,11.543664
2020-03-09,12.8581867
2020-03-10,13.441164
2020-03-11,13.1620398
2020-03-12,12.1839867
2020-03-13,12.8816156
2020-03-14,12.1806221
2020-03-15,13.1803398
2020-03-16,12.8335924
2020-03-17,12.789959
2020-03-18,13.0239115
2020-03-19,12.5772171
2020-03-20,12.1158819
2020-03-21,11.8877525
2020-03-22,11.554451
2020-03-23,12.6383219
2020-03-24,11.6737185
2020-03-25,13.2340536
2020-03-26,12.3752546
2020-03-27,12.4244099
2020-03-28,11.7992258
2020-03-29,12.5571108
2020-03-30,12.0050039
2020-03-31,12.7005062
2020-04-01,12.3585997
2020-04-02,12.34688
2020-04-03,12.5585356
2020-04-04,12.3701305
2020-04-05,11.8117523
2020-04-06,11.7565842
2020-04-07,11.8200636
2020-04-08,11.6745367
2020-04-09,12.4434805
2020-04-10,12.8175135
2020-04-11,12.0430088
2020-04-12,12.0809727
2020-04-13,12.1385593
2020-04-14,11.7497044
2020-04-15,12.1253481
2020-04-16,11.5126534
2020-04-17,12.694869
2020-04-18,12.3585777
2020-04-19,12.1624842
2020-04-20,12.4315624
2020-04-21,12.9547577
2020-04-22,12.0214853
2020-04-23,11.1827717
2020-04-24,12.0368452
2020-04-25,11.2745543
2020-04-26,11.4193821
2020-04-27,11.0511475
2020-04-28,10.8447866
2020-04-29,11.4123955
2020-04-30,10.3483706
2020-05-01,11.0527496
2020-05-02,10.5743513
2020-05-03,10.7113457
2020-05-04,11.4065762
2020-05-05,11.2011852
2020-05-06,12.0181379
2020-05-07,11.299633
2020-05-08,11.0414314
2020-05-09,10.8773012
2020-05-10,11.3132219
2020-05-11,10.896122
2020-05-12,11.1362238
2020-05-13,11.2386923
2020-05-14,10.9590178
2020-05-15,11.1621466
2020-05-16,11.0279827
2020-05-17,9.99526405
2020-05-18,9.76414108
2020-05-19,10.018486
2020-05-20,10.2028236
2020-05-21,10.0881739
2020-05-22,8.7776432
