Komoditas (Rp),Telur Ayam
Dec  2020 (IV),"28,650"
Jan  2021 (I),"27,600"
Jan  2021 (II),"27,250"
Jan  2021 (III),"26,550"
Jan  2021 (IV),"25,950"
Feb  2021 (V),"25,400"
Feb  2021 (I),"25,500"
Feb  2021 (II),"26,000"
Feb  2021 (III),"25,800"
Mar  2021 (V),"25,750"
Mar  2021 (I),"27,400"
Mar  2021 (II),"25,350"
Mar  2021 (III),"25,050"
Mar  2021 (IV),"25,600"
Apr  2021 (I),"25,050"
Apr  2021 (II),"26,050"
Apr  2021 (III),"26,300"
Apr  2021 (IV),"26,100"
May  2021 (I),"26,050"
May  2021 (II),"26,200"
May  2021 (III),"26,000"
May  2021 (IV),"29,150"
May  2021 (V),"28,450"
Jun  2021 (I),"26,500"
Jun  2021 (II),"26,400"
Jun  2021 (III),"26,000"
Jun  2021 (IV),"25,750"
Jul  2021 (I),"25,350"
Jul  2021 (II),"25,350"
Jul  2021 (III),"26,700"
Jul  2021 (IV),"26,150"
Aug  2021 (V),"26,150"
Aug  2021 (I),"25,350"
Aug  2021 (II),"26,400"
Aug  2021 (III),"25,150"
Aug  2021 (IV),"24,600"
Sep  2021 (I),"24,000"
Sep  2021 (II),"23,700"
Sep  2021 (III),"23,350"
Sep  2021 (IV),"23,300"
Oct  2021 (I),"23,250"
Oct  2021 (II),"23,150"
Oct  2021 (III),"24,000"
Oct  2021 (IV),"23,050"
Nov  2021 (V),"28,550"
Nov  2021 (I),"25,000"
Nov  2021 (II),"30,050"
Nov  2021 (III),"25,250"
Nov  2021 (IV),"29,800"
Dec  2021 (I),"24,850"
Dec  2021 (II),"30,550"
Dec  2021 (III),"27,650"
Dec  2021 (IV),"29,950"
Jan  2022 (I),"30,050"
Jan  2022 (II),"28,850"
Jan  2022 (III),"27,550"
Jan  2022 (IV),"26,400"
Jan  2022 (V),"23,850"
Feb  2022 (I),"24,500"
Feb  2022 (II),"24,050"
Feb  2022 (III),"24,200"
Feb  2022 (IV),"24,200"
Mar  2022 (I),"24,900"
Mar  2022 (II),"25,100"
Mar  2022 (III),"25,250"
Mar  2022 (IV),"25,600"
Apr  2022 (I),"25,700"
Apr  2022 (II),"25,900"
Apr  2022 (III),"26,150"
Apr  2022 (IV),"27,700"
May  2022 (V),"39,350"
May  2022 (I),"27,500"
May  2022 (II),"28,500"
May  2022 (III),"28,350"
May  2022 (IV),"28,800"
Jun  2022 (I),"29,300"
Jun  2022 (II),"29,350"
Jun  2022 (III),"29,300"
Jun  2022 (IV),"29,100"
Jul  2022 (I),"29,150"
Jul  2022 (II),"29,350"
Jul  2022 (III),"29,300"
Jul  2022 (IV),"29,450"
Aug  2022 (V),"29,350"
Aug  2022 (I),"29,150"
Aug  2022 (II),"30,900"
Aug  2022 (III),"31,050"
Aug  2022 (IV),"31,450"
Sep  2022 (I),"30,850"
Sep  2022 (II),"30,450"
Sep  2022 (III),"30,050"
Sep  2022 (IV),"28,800"
Oct  2022 (I),"28,100"
Oct  2022 (II),"28,250"
Oct  2022 (III),"28,400"
Oct  2022 (IV),"28,350"
Oct  2022 (V),"28,350"
Nov  2022 (I),"28,550"
Nov  2022 (II),"28,900"
Nov  2022 (III),"29,150"
Nov  2022 (IV),"29,950"
Dec  2022 (I),"30,700"
Dec  2022 (II),"31,250"
Dec  2022 (III),"31,200"
Dec  2022 (IV),"31,100"
Jan  2023 (V),"30,700"
Jan  2023 (I),"30,500"
Jan  2023 (II),"30,250"
Jan  2023 (III),"30,050"
Jan  2023 (IV),"29,750"
Feb  2023 (I),"29,450"
Feb  2023 (II),"29,250"
Feb  2023 (III),"28,900"
Feb  2023 (IV),"28,550"
Mar  2023 (I),"28,550"
Mar  2023 (II),"29,250"
Mar  2023 (III),"30,100"
Mar  2023 (IV),"30,200"
Apr  2023 (I),"30,000"
Apr  2023 (II),"29,850"
Apr  2023 (III),"29,400"
Apr  2023 (IV),"30,100"
May  2023 (V),"29,850"
May  2023 (I),"30,400"
May  2023 (II),"31,400"
May  2023 (III),"31,850"
May  2023 (IV),"31,950"
Jun  2023 (I),"31,900"
Jun  2023 (II),"31,700"
Jun  2023 (III),"31,600"
Jun  2023 (IV),"31,800"
Jul  2023 (I),"31,750"
Jul  2023 (II),"31,850"
Jul  2023 (III),"32,000"
Jul  2023 (IV),"32,050"
Jul  2023 (V),"32,000"
Aug  2023 (I),"31,850"
Aug  2023 (II),"31,650"
Aug  2023 (III),"31,150"
Aug  2023 (IV),"30,600"
